evidence_id,owner_type,owner_id,evidence_index,evidence_type,evidence_value,evidence_raw,review_status,source_hash,hash_status,created_at
ev_node_member_arvin_00,NODE,member_arvin,0,source,team/Arvin_major_work_analysis.en.md,source:team/Arvin_major_work_analysis.en.md,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_member_arvin_01,NODE,member_arvin,1,community,Site Receiving & Handover,community:Site Receiving & Handover,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_member_arvin_02,NODE,member_arvin,2,degree,9,degree:9,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_member_arvin_03,NODE,member_arvin,3,method,sct-ai-metadata-enrichment-v2.1,method:sct-ai-metadata-enrichment-v2.1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_role_overseas_inbound_docs_coordinator_00,NODE,role_overseas_inbound_docs_coordinator,0,source,team/Arvin_major_work_analysis.en.md,source:team/Arvin_major_work_analysis.en.md,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_role_overseas_inbound_docs_coordinator_01,NODE,role_overseas_inbound_docs_coordinator,1,community,Customs Clearance & Regulatory,community:Customs Clearance & Regulatory,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_role_overseas_inbound_docs_coordinator_02,NODE,role_overseas_inbound_docs_coordinator,2,degree,6,degree:6,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_role_overseas_inbound_docs_coordinator_03,NODE,role_overseas_inbound_docs_coordinator,3,method,sct-ai-metadata-enrichment-v2.1,method:sct-ai-metadata-enrichment-v2.1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_customs_clearance_docs_00,NODE,concept_customs_clearance_docs,0,source,team/Arvin_major_work_analysis.en.md,source:team/Arvin_major_work_analysis.en.md,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_customs_clearance_docs_01,NODE,concept_customs_clearance_docs,1,community,Customs Clearance & Regulatory,community:Customs Clearance & Regulatory,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_customs_clearance_docs_02,NODE,concept_customs_clearance_docs,2,degree,7,degree:7,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_customs_clearance_docs_03,NODE,concept_customs_clearance_docs,3,method,sct-ai-metadata-enrichment-v2.1,method:sct-ai-metadata-enrichment-v2.1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_boe_00,NODE,concept_boe,0,source,team/Arvin_major_work_analysis.en.md,source:team/Arvin_major_work_analysis.en.md,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_boe_01,NODE,concept_boe,1,community,Customs Clearance & Regulatory,community:Customs Clearance & Regulatory,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_boe_02,NODE,concept_boe,2,degree,4,degree:4,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_boe_03,NODE,concept_boe,3,method,sct-ai-metadata-enrichment-v2.1,method:sct-ai-metadata-enrichment-v2.1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_do_00,NODE,concept_do,0,source,team/Arvin_major_work_analysis.en.md,source:team/Arvin_major_work_analysis.en.md,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_do_01,NODE,concept_do,1,community,Customs Clearance & Regulatory,community:Customs Clearance & Regulatory,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_do_02,NODE,concept_do,2,degree,4,degree:4,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_do_03,NODE,concept_do,3,method,sct-ai-metadata-enrichment-v2.1,method:sct-ai-metadata-enrichment-v2.1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_bl_00,NODE,concept_bl,0,source,team/Arvin_major_work_analysis.en.md,source:team/Arvin_major_work_analysis.en.md,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_bl_01,NODE,concept_bl,1,community,Customs Clearance & Regulatory,community:Customs Clearance & Regulatory,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_bl_02,NODE,concept_bl,2,degree,3,degree:3,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_bl_03,NODE,concept_bl,3,method,sct-ai-metadata-enrichment-v2.1,method:sct-ai-metadata-enrichment-v2.1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_msds_00,NODE,concept_msds,0,source,team/Arvin_major_work_analysis.en.md,source:team/Arvin_major_work_analysis.en.md,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_msds_01,NODE,concept_msds,1,community,Customs Clearance & Regulatory,community:Customs Clearance & Regulatory,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_msds_02,NODE,concept_msds,2,degree,1,degree:1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_msds_03,NODE,concept_msds,3,method,sct-ai-metadata-enrichment-v2.1,method:sct-ai-metadata-enrichment-v2.1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_fanr_00,NODE,concept_fanr,0,source,team/Arvin_major_work_analysis.en.md,source:team/Arvin_major_work_analysis.en.md,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_fanr_01,NODE,concept_fanr,1,community,Customs Clearance & Regulatory,community:Customs Clearance & Regulatory,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_fanr_02,NODE,concept_fanr,2,degree,2,degree:2,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_fanr_03,NODE,concept_fanr,3,method,sct-ai-metadata-enrichment-v2.1,method:sct-ai-metadata-enrichment-v2.1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_moiat_00,NODE,concept_moiat,0,source,team/Arvin_major_work_analysis.en.md,source:team/Arvin_major_work_analysis.en.md,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_moiat_01,NODE,concept_moiat,1,community,Customs Clearance & Regulatory,community:Customs Clearance & Regulatory,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_moiat_02,NODE,concept_moiat,2,degree,2,degree:2,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_moiat_03,NODE,concept_moiat,3,method,sct-ai-metadata-enrichment-v2.1,method:sct-ai-metadata-enrichment-v2.1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_exit_gate_pass_00,NODE,concept_exit_gate_pass,0,source,team/Arvin_major_work_analysis.en.md,source:team/Arvin_major_work_analysis.en.md,pending,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_exit_gate_pass_01,NODE,concept_exit_gate_pass,1,community,Site Receiving & Handover,community:Site Receiving & Handover,pending,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_exit_gate_pass_02,NODE,concept_exit_gate_pass,2,degree,3,degree:3,pending,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_exit_gate_pass_03,NODE,concept_exit_gate_pass,3,method,sct-ai-metadata-enrichment-v2.1,method:sct-ai-metadata-enrichment-v2.1,pending,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_siemens_claim_00,NODE,concept_siemens_claim,0,source,team/Arvin_major_work_analysis.en.md,source:team/Arvin_major_work_analysis.en.md,pending,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_siemens_claim_01,NODE,concept_siemens_claim,1,community,Site Receiving & Handover,community:Site Receiving & Handover,pending,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_siemens_claim_02,NODE,concept_siemens_claim,2,degree,1,degree:1,pending,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_siemens_claim_03,NODE,concept_siemens_claim,3,method,sct-ai-metadata-enrichment-v2.1,method:sct-ai-metadata-enrichment-v2.1,pending,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_shipment_tracking_00,NODE,concept_shipment_tracking,0,source,team/Arvin_major_work_analysis.en.md,source:team/Arvin_major_work_analysis.en.md,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_shipment_tracking_01,NODE,concept_shipment_tracking,1,community,Member Work Areas & Marine Ops,community:Member Work Areas & Marine Ops,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_shipment_tracking_02,NODE,concept_shipment_tracking,2,degree,2,degree:2,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_shipment_tracking_03,NODE,concept_shipment_tracking,3,method,sct-ai-metadata-enrichment-v2.1,method:sct-ai-metadata-enrichment-v2.1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_entity_dsv_00,NODE,entity_dsv,0,source,team/Arvin_major_work_analysis.en.md,source:team/Arvin_major_work_analysis.en.md,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_entity_dsv_01,NODE,entity_dsv,1,community,Site Receiving & Handover,community:Site Receiving & Handover,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_entity_dsv_02,NODE,entity_dsv,2,degree,1,degree:1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_entity_dsv_03,NODE,entity_dsv,3,method,sct-ai-metadata-enrichment-v2.1,method:sct-ai-metadata-enrichment-v2.1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_member_haitham_00,NODE,member_haitham,0,source,team/Haitham_major_work_analysis.en.md,source:team/Haitham_major_work_analysis.en.md,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_member_haitham_01,NODE,member_haitham,1,community,Member Work Areas & Marine Ops,community:Member Work Areas & Marine Ops,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_member_haitham_02,NODE,member_haitham,2,degree,11,degree:11,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_member_haitham_03,NODE,member_haitham,3,method,sct-ai-metadata-enrichment-v2.1,method:sct-ai-metadata-enrichment-v2.1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_role_marine_mosb_coordinator_00,NODE,role_marine_mosb_coordinator,0,source,team/Haitham_major_work_analysis.en.md,source:team/Haitham_major_work_analysis.en.md,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_role_marine_mosb_coordinator_01,NODE,role_marine_mosb_coordinator,1,community,Marine & MOSB Handling,community:Marine & MOSB Handling,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_role_marine_mosb_coordinator_02,NODE,role_marine_mosb_coordinator,2,degree,6,degree:6,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_role_marine_mosb_coordinator_03,NODE,role_marine_mosb_coordinator,3,method,sct-ai-metadata-enrichment-v2.1,method:sct-ai-metadata-enrichment-v2.1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_vessel_tracking_00,NODE,concept_vessel_tracking,0,source,team/Haitham_major_work_analysis.en.md,source:team/Haitham_major_work_analysis.en.md,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_vessel_tracking_01,NODE,concept_vessel_tracking,1,community,Member Work Areas & Marine Ops,community:Member Work Areas & Marine Ops,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_vessel_tracking_02,NODE,concept_vessel_tracking,2,degree,3,degree:3,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_vessel_tracking_03,NODE,concept_vessel_tracking,3,method,sct-ai-metadata-enrichment-v2.1,method:sct-ai-metadata-enrichment-v2.1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_sr_00,NODE,concept_sr,0,source,team/Haitham_major_work_analysis.en.md,source:team/Haitham_major_work_analysis.en.md,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_sr_01,NODE,concept_sr,1,community,Member Work Areas & Marine Ops,community:Member Work Areas & Marine Ops,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_sr_02,NODE,concept_sr,2,degree,1,degree:1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_sr_03,NODE,concept_sr,3,method,sct-ai-metadata-enrichment-v2.1,method:sct-ai-metadata-enrichment-v2.1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_priority_list_00,NODE,concept_priority_list,0,source,team/Haitham_major_work_analysis.en.md,source:team/Haitham_major_work_analysis.en.md,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_priority_list_01,NODE,concept_priority_list,1,community,Member Work Areas & Marine Ops,community:Member Work Areas & Marine Ops,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_priority_list_02,NODE,concept_priority_list,2,degree,1,degree:1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_priority_list_03,NODE,concept_priority_list,3,method,sct-ai-metadata-enrichment-v2.1,method:sct-ai-metadata-enrichment-v2.1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_vessel_loading_00,NODE,concept_vessel_loading,0,source,team/Haitham_major_work_analysis.en.md,source:team/Haitham_major_work_analysis.en.md,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_vessel_loading_01,NODE,concept_vessel_loading,1,community,Member Work Areas & Marine Ops,community:Member Work Areas & Marine Ops,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_vessel_loading_02,NODE,concept_vessel_loading,2,degree,1,degree:1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_vessel_loading_03,NODE,concept_vessel_loading,3,method,sct-ai-metadata-enrichment-v2.1,method:sct-ai-metadata-enrichment-v2.1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_inspection_tpi_00,NODE,concept_inspection_tpi,0,source,team/Haitham_major_work_analysis.en.md,source:team/Haitham_major_work_analysis.en.md,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_inspection_tpi_01,NODE,concept_inspection_tpi,1,community,Member Work Areas & Marine Ops,community:Member Work Areas & Marine Ops,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_inspection_tpi_02,NODE,concept_inspection_tpi,2,degree,1,degree:1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_concept_inspection_tpi_03,NODE,concept_inspection_tpi,3,method,sct-ai-metadata-enrichment-v2.1,method:sct-ai-metadata-enrichment-v2.1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_entity_mosb_00,NODE,entity_mosb,0,source,team/Haitham_major_work_analysis.en.md,source:team/Haitham_major_work_analysis.en.md,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_entity_mosb_01,NODE,entity_mosb,1,community,Member Work Areas & Marine Ops,community:Member Work Areas & Marine Ops,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_entity_mosb_02,NODE,entity_mosb,2,degree,1,degree:1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_entity_mosb_03,NODE,entity_mosb,3,method,sct-ai-metadata-enrichment-v2.1,method:sct-ai-metadata-enrichment-v2.1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_member_jhysn_00,NODE,member_jhysn,0,source,team/Jhysn_major_work_analysis.en.md,source:team/Jhysn_major_work_analysis.en.md,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_member_jhysn_01,NODE,member_jhysn,1,community,Member Work Areas & Marine Ops,community:Member Work Areas & Marine Ops,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_member_jhysn_02,NODE,member_jhysn,2,degree,7,degree:7,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_member_jhysn_03,NODE,member_jhysn,3,method,sct-ai-metadata-enrichment-v2.1,method:sct-ai-metadata-enrichment-v2.1,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_role_mosb_vp24_field_supervisor_00,NODE,role_mosb_vp24_field_supervisor,0,source,team/Jhysn_major_work_analysis.en.md,source:team/Jhysn_major_work_analysis.en.md,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_role_mosb_vp24_field_supervisor_01,NODE,role_mosb_vp24_field_supervisor,1,community,Marine & MOSB Handling,community:Marine & MOSB Handling,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
ev_node_role_mosb_vp24_field_supervisor_02,NODE,role_mosb_vp24_field_supervisor,2,degree,3,degree:3,approved_ai_ready,,MISSING_SOURCE_HASH,2026-06-14T17:34:09+00:00
